"text","label"
"מעריך אותך נשמה",0
"נשמה טובה אתה",0
"ילד טוב אתה באמת",0
"איזה ילדה חמודה",0
"את חמודה ממש",0
"אחלה ילד אתה",0
"נשמה זה היה מעולה",0
"את אחלה בן אדם",0
"מלך אתה תודה רבה",0
"אלופה את כל הכבוד",0
"את פשוט מקסימה",0
"יש לך לב טוב",0
"אח יקר תודה על העזרה",0
"נשמה אתה תותח",0
"את מדהימה באמת",0
"ילדה מתוקה ממש",0
"איזה בן אדם טוב אתה",0
"כל הכבוד נשמה",0
"את אלופה אמיתית",0
"אהבתי מאוד את זה",0
"זה יצא ממש טוב",0
"תודה רבה על ההסבר",0
"זה עזר לי מאוד",0
"עבודה מצוינת",0
"יש פה השקעה רצינית",0
"זה נראה מצוין",0
"אהבתי את הרעיון",0
"נראה מקצועי מאוד",0
"זה ממש יפה",0
"זה נראה גרוע מאוד",0
"לא אהבתי את זה",0
"זה לא מדויק לדעתי",0
"יש פה טעויות",0
"זה לא ברור מספיק",0
"זה יכול להיות יותר טוב",0
"לא התחברתי",0
"זה פחות עובד",0
"לא הכי אהבתי",0
"לא מסכים איתך אבל מעניין לשמוע","0"
"יש פה כמה טעויות לדעתי","0"
"יכול להיות יותר טוב","0"
"לא אהבתי את העריכה","0"
"תודה על השיתוף","0"
"נחמד אבל ציפיתי ליותר","0"
"לא התחברתי לתוכן","0"
"זה לא הסגנון שלי","0"
"יכול להיות יותר ברור","0"
"יש כאן נקודה מעניינת","0"
"לא מסכים עם חלק מהדברים","0"
"זה קצת מבלבל","0"
"נראה לי שיש טעות","0"
"לא הכי ברור מה ניסית להעביר","0"
"פחות התחברתי הפעם","0"
"זה מרגיש קצת ארוך מדי","0"
"לא בטוח שזה נכון","0"
"יש מקום לשיפור","0"
"זה נחמד אבל לא מעבר","0"
"אני חושב אחרת","0"
"לא השתכנעתי","0"
"זה לא הכי מדויק בעיניי","0"
"יש דברים טובים ויש פחות","0"
"לא כזה התחברתי","0"
"זה לא עובד לי","0"
"יש פה רעיון טוב","0"
"לא הכי אהבתי את הסגנון","0"
"זה לא מדבר אליי","0"
"יכול להיות יותר מעניין","0"
"לא מסכים בכלל","0"
"זה לא נשמע לי נכון","0"
"יש כמה בעיות","0"
"לא ברור למה התכוונת","0"
"זה קצת חוזר על עצמו","0"
"לא מרגיש לי מספיק עמוק","0"
"נחמד אבל רגיל","0"
"זה לא מחדש הרבה","0"
"לא הכי זורם","0"
"יש מקום לשפר","0"
"זה לא בדיוק זה","0"
"לא התחברתי לקונספט","0"
"זה פחות עובד לי","0"
"לא בטוח שזה הכיוון","0"
"יש רעיון אבל הביצוע פחות","0"
"זה לא מספיק ברור","0"
"לא כל כך אהבתי","0"
"זה בינוני","0"
"לא משהו מיוחד","0"
"זה סבבה אבל לא וואו","0"
"לא כזה טוב בעיניי","0"
"זה נחמד ותו לא","0"
"לא הכי טוב שראיתי","0"
"יש מקום להשתפר","0"
"זה לא לגמרי מדויק","0"
"פחות אהבתי את זה","0"
"לא התחברתי לזה","0"
"זה לא כל כך עובד","0"
"זה מרגיש חסר","0"
"לא ברור מספיק","0"
"זה קצת מוזר","0"
"לא כזה התחברתי לזה","0"
"זה לא בדיוק מה שציפיתי","0"
"יש פה בלבול","0"
"זה לא משכנע","0"
"לא כזה טוב","0"
"זה לא משהו","0"
"לא כזה מעניין","0"
"זה לא תפס אותי","0"
"פחות התחברתי לזה","0"
"לא נראה לי שזה נכון","0"
"זה לא הכי ברור","0"
"לא אהבתי במיוחד","0"
"זה לא משהו מיוחד","0"
"לא כל כך התחברתי לזה","0"
"זה לא מספיק טוב","0"
"יש כאן בלבול","0"
"זה לא עובד כמו שצריך","0"
"זה לא משכנע אותי","0"
"לא כזה טוב כמו שחשבתי","0"
"זה לא נראה לי מדויק","0"
"לא אהבתי את זה כל כך","0"
"זה לא ברור בכלל","0"
"זה קצת מוזר בעיניי","0"
"לא הכי התחברתי","0"
"זה לא משהו רציני","0"
"זה לא מספיק ברור לי","0"
"זה לא עובד טוב","0"
"יש פה בעיות","0"
"זה לא הכי טוב","0"
"לא אהבתי בכלל את הכיוון","0"
"יכול להיות שזה יעבוד לאחרים","0"
"לא בטוח שאני מסכים","0"
"זה פחות מתאים לי","0"
"יש נקודות טובות","0"
"זה לא נראה לי מדויק לגמרי","0"
"סרטון מושקע ממש","0"
"עזר לי להבין יותר טוב","0"
"זה היה ברור ונעים לצפייה","0"
"תוכן מעניין מאוד","0"
"אהבתי את הסיכום בסוף","0"
"סוף סוף מישהו מסביר את זה נורמלי","0"
"זה היה ממש מועיל","0"
"תודה על ההשקעה בתוכן","0"
"אהבתי את הזווית שלך","0"
"יש פה חשיבה יפה","0"
"זה דווקא חידש לי","0"
"סבבה לגמרי מבחינתי","0"
"זה מסודר טוב","0"
"נחמד מאוד בעיניי","0"
"זה היה קולע","0"
"סרטון חמוד","0"
"אהבתי את הבחירה בדוגמאות","0"
