text,correct,confidence
מעריך אותך נשמה,True,0.8302
נשמה טובה אתה,True,0.99
ילד טוב אתה באמת,True,0.9882
איזה ילדה חמודה,True,0.6161
אחלה ילד אתה,True,0.9267
את אחלה בן אדם,True,0.85
מלך אתה תודה רבה,True,0.9928
אלופה את כל הכבוד,True,0.9952
את פשוט מקסימה,True,0.7393
יש לך לב טוב,True,0.9813
אח יקר תודה על העזרה,True,0.9891
נשמה אתה תותח,True,0.943
את מדהימה באמת,True,0.987
ילדה מתוקה ממש,True,0.7261
איזה בן אדם טוב אתה,True,0.9683
כל הכבוד נשמה,True,0.9948
את אלופה אמיתית,True,0.9693
אהבתי מאוד את זה,True,0.9731
זה יצא ממש טוב,True,0.9059
תודה רבה על ההסבר,True,0.991
זה עזר לי מאוד,True,0.9885
עבודה מצוינת,True,0.9943
יש פה השקעה רצינית,True,0.9534
זה נראה מצוין,True,0.9846
אהבתי את הרעיון,True,0.9915
נראה מקצועי מאוד,True,0.9727
זה ממש יפה,True,0.5518
זה נראה גרוע מאוד,True,0.9917
לא אהבתי את זה,True,0.9097
זה לא מדויק לדעתי,True,0.9876
יש פה טעויות,True,0.9638
זה לא ברור מספיק,True,0.9912
זה יכול להיות יותר טוב,True,0.9934
לא התחברתי,True,0.8859
זה פחות עובד,True,0.7077
לא הכי אהבתי,True,0.9543
לא מסכים איתך אבל מעניין לשמוע,True,0.9883
יש פה כמה טעויות לדעתי,True,0.9845
יכול להיות יותר טוב,True,0.9929
לא אהבתי את העריכה,True,0.9921
תודה על השיתוף,True,0.9943
נחמד אבל ציפיתי ליותר,True,0.848
לא התחברתי לתוכן,True,0.9211
זה לא הסגנון שלי,True,0.9622
יכול להיות יותר ברור,True,0.9928
יש כאן נקודה מעניינת,True,0.9928
לא מסכים עם חלק מהדברים,True,0.993
נראה לי שיש טעות,True,0.9789
לא הכי ברור מה ניסית להעביר,True,0.9855
פחות התחברתי הפעם,True,0.9202
זה מרגיש קצת ארוך מדי,True,0.9563
לא בטוח שזה נכון,True,0.9822
יש מקום לשיפור,True,0.9858
זה נחמד אבל לא מעבר,True,0.9023
אני חושב אחרת,True,0.9906
לא השתכנעתי,True,0.9894
זה לא הכי מדויק בעיניי,True,0.986
יש דברים טובים ויש פחות,True,0.9936
לא כזה התחברתי,True,0.7989
זה לא עובד לי,True,0.9769
יש פה רעיון טוב,True,0.9902
לא הכי אהבתי את הסגנון,True,0.9834
זה לא מדבר אליי,True,0.9632
יכול להיות יותר מעניין,True,0.9682
לא מסכים בכלל,True,0.9903
זה לא נשמע לי נכון,True,0.9889
יש כמה בעיות,True,0.9927
לא ברור למה התכוונת,True,0.9824
זה קצת חוזר על עצמו,True,0.9823
לא מרגיש לי מספיק עמוק,True,0.9723
נחמד אבל רגיל,True,0.9118
זה לא מחדש הרבה,True,0.9598
לא הכי זורם,True,0.9774
יש מקום לשפר,True,0.8178
זה לא בדיוק זה,True,0.9659
לא התחברתי לקונספט,True,0.926
זה פחות עובד לי,True,0.8838
לא בטוח שזה הכיוון,True,0.9893
יש רעיון אבל הביצוע פחות,True,0.9897
זה לא מספיק ברור,True,0.9912
לא כל כך אהבתי,True,0.9732
זה בינוני,True,0.6734
לא משהו מיוחד,True,0.9895
זה סבבה אבל לא וואו,True,0.9423
לא כזה טוב בעיניי,True,0.9908
זה נחמד ותו לא,True,0.9199
לא הכי טוב שראיתי,True,0.9903
יש מקום להשתפר,True,0.9902
זה לא לגמרי מדויק,True,0.9464
פחות אהבתי את זה,True,0.7801
לא התחברתי לזה,True,0.9073
זה לא כל כך עובד,True,0.9842
זה מרגיש חסר,True,0.6717
לא ברור מספיק,True,0.9914
זה קצת מוזר,True,0.9475
לא כזה התחברתי לזה,True,0.8611
זה לא בדיוק מה שציפיתי,True,0.9288
יש פה בלבול,True,0.7556
זה לא משכנע,True,0.9796
לא כזה טוב,True,0.9589
זה לא משהו,True,0.9805
לא כזה מעניין,True,0.8657
זה לא תפס אותי,True,0.9872
פחות התחברתי לזה,True,0.9018
לא נראה לי שזה נכון,True,0.9902
זה לא הכי ברור,True,0.9859
לא אהבתי במיוחד,True,0.9782
זה לא משהו מיוחד,True,0.9877
לא כל כך התחברתי לזה,True,0.9255
זה לא מספיק טוב,True,0.9906
יש כאן בלבול,True,0.9229
זה לא עובד כמו שצריך,True,0.9888
זה לא משכנע אותי,True,0.9879
לא כזה טוב כמו שחשבתי,True,0.9867
זה לא נראה לי מדויק,True,0.9755
לא אהבתי את זה כל כך,True,0.9822
זה לא ברור בכלל,True,0.9909
זה קצת מוזר בעיניי,True,0.9809
לא הכי התחברתי,True,0.9026
זה לא משהו רציני,True,0.9794
זה לא מספיק ברור לי,True,0.9867
זה לא עובד טוב,True,0.9852
יש פה בעיות,True,0.9679
זה לא הכי טוב,True,0.9753
לא אהבתי בכלל את הכיוון,True,0.9919
יכול להיות שזה יעבוד לאחרים,True,0.9908
לא בטוח שאני מסכים,True,0.9865
זה פחות מתאים לי,True,0.9675
יש נקודות טובות,True,0.9947
זה לא נראה לי מדויק לגמרי,True,0.9863
סרטון מושקע ממש,True,0.9356
עזר לי להבין יותר טוב,True,0.9935
זה היה ברור ונעים לצפייה,True,0.9911
תוכן מעניין מאוד,True,0.981
אהבתי את הסיכום בסוף,True,0.9781
סוף סוף מישהו מסביר את זה נורמלי,True,0.9521
זה היה ממש מועיל,True,0.5202
תודה על ההשקעה בתוכן,True,0.9923
אהבתי את הזווית שלך,True,0.964
יש פה חשיבה יפה,True,0.9813
זה דווקא חידש לי,True,0.9377
סבבה לגמרי מבחינתי,True,0.9782
זה מסודר טוב,True,0.9772
נחמד מאוד בעיניי,True,0.9907
סרטון חמוד,True,0.8054
אהבתי את הבחירה בדוגמאות,True,0.9739
יש פה הסבר די טוב,True,0.9626
לא רע בכלל,True,0.9697
אהבתי את הכנות,True,0.9726
יש פה ערך,True,0.6313
זה די שימושי,True,0.9665
כל הכבוד על ההשקעה,True,0.9937
נראה טוב בסך הכל,True,0.993
זה כן תרם לי,True,0.9555
סבבה של תוכן,True,0.9312
יש לך אחלה סגנון,True,0.9592
זה היה זורם,True,0.9512
אהבתי את העריכה פה,True,0.9777
אני דווקא אהבתי,True,0.9771
זה עובר טוב,True,0.635
יש כאן כמה נקודות חכמות,True,0.9935
אני רואה מה ניסית להגיד,True,0.9897
זה מובן יחסית,True,0.9684
נחמד לראות תוכן כזה,True,0.989
יש פה כיוון טוב,True,0.9533
אהבתי את הרעיון הכללי,True,0.9914
זה כן עבד לי,True,0.895
מרגיש אמיתי ולא מתאמץ מדי,True,0.9835
יש פה משהו טוב,True,0.9774
זה דווקא כן מדבר אליי,True,0.9455
נראה לי סבבה,True,0.9332
יפה שעשית את זה פשוט,True,0.9371
יש כאן גישה רגועה,True,0.9788
זה כתוב טוב,True,0.9474
לא רע בכלל האמת,True,0.9899
נראה מושקע,True,0.9563
אהבתי את ההצגה,True,0.9695
זה בהחלט מעניין,True,0.8533
יש פה פוטנציאל טוב,True,0.9666
זה נשמע הגיוני,True,0.9843
הרגת אותי מצחוק,True,0.7088
ממש מצחיק,True,0.7954
ראיתי את הסרטון מאה פעם,True,0.9902
שפכתם אותייייי,True,0.9818
זה בסדר גמור,True,0.7525
אני דווקא נהניתי מזה,True,0.9839
יש פה אחלה הסבר ראשוני,True,0.9526
יש כאן תוכן סבבה,True,0.9007
מרגיש מסודר ולא מבולגן,True,0.8277
זה כן עזר להתחיל להבין,True,0.9919
נחמד וקולע,True,0.6713
זה מרגיש מדויק יחסית,True,0.9405
סך הכל אחלה עבודה,True,0.9863
מרגיש נגיש,True,0.9688
זה דווקא ממש סביר,True,0.8914
זה כן עושה סדר בראש,True,0.9055
נראה לי אחלה,True,0.9581
זה הטעות הכי גדולה שיכולת לעשות,True,0.9852
בחור אמיץ אתה,True,0.9598
"אחי , אתה חי על הקצה",True,0.7928
למה שתגיד לה את זה אפילו בצחוק? לא מצחיק,True,0.9755
חחחחחח אני מתה עליכם,True,0.8533
אימאלה נשברתי מצחוק,True,0.6931
הסבתכת,True,0.9273
ענקקקקקקקק,True,0.8206
גאון חחחחחחחחח,True,0.809
אוי ואבוי אחי,True,0.9297
בדקתם שהוא בסדר?,True,0.984
נפלת על העונה הכי משעממת,True,0.9866
הכי מגיע לך בעולם,True,0.985
שאפו אח,True,0.8272
אין מצב שאתה המחליף,True,0.9354
איזה מלך,True,0.8969
שמע אתה לא מנחה טוב,True,0.9703
מה איאמילה הלם,True,0.6751
לאאא למה,True,0.8245
